B107-006,B107,jagro415,2018-09-06 10:32 AM,2018-09-06 11:28 AM,3364,3364,2018-09-06,10:32:00 AM,Thursday,
B173-011,B173,khess863,2018-09-06 10:32 AM,2018-09-06 11:19 AM,2803,2803,2018-09-06,10:32:00 AM,Thursday,
B107-007,B107,falla412,2018-09-06 10:33 AM,2018-09-06 11:33 AM,3585,3585,2018-09-06,10:33:00 AM,Thursday,
B107-022,B107,amoro461,2018-09-06 10:33 AM,2018-09-06 11:29 AM,3352,3352,2018-09-06,10:33:00 AM,Thursday,
B107-019,B107,began292,2018-09-06 10:33 AM,2018-09-06 11:31 AM,3464,3464,2018-09-06,10:33:00 AM,Thursday,
B107-020,B107,mbian099,2018-09-06 10:33 AM,2018-09-06 11:55 AM,4927,4927,2018-09-06,10:33:00 AM,Thursday,
B107-008,B107,smelv384,2018-09-06 10:33 AM,2018-09-06 11:31 AM,3445,3445,2018-09-06,10:33:00 AM,Thursday,
B107-017,B107,gdavi909,2018-09-06 10:33 AM,2018-09-06 11:27 AM,3195,3195,2018-09-06,10:33:00 AM,Thursday,
B173-004,B173,ymaci807,2018-09-06 10:34 AM,2018-09-06 11:19 AM,2703,2703,2018-09-06,10:34:00 AM,Thursday,
B107-023,B107,adrag835,2018-09-06 10:34 AM,2018-09-06 11:29 AM,3275,3275,2018-09-06,10:34:00 AM,Thursday,
B107-025,B107,mfrez395,2018-09-06 10:34 AM,2018-09-06 11:32 AM,3475,3475,2018-09-06,10:34:00 AM,Thursday,
B107-021,B107,dtorr288,2018-09-06 10:35 AM,2018-09-06 11:57 AM,4915,4915,2018-09-06,10:35:00 AM,Thursday,
B162-021,B162,mshaf408,2018-09-06 10:35 AM,2018-09-06 11:06 AM,1862,1862,2018-09-06,10:35:00 AM,Thursday,
B107-018,B107,jpope229,2018-09-06 10:35 AM,2018-09-06 11:27 AM,3105,3105,2018-09-06,10:35:00 AM,Thursday,
B173-003,B173,ddhil786,2018-09-06 10:35 AM,2018-09-06 11:19 AM,2643,2643,2018-09-06,10:35:00 AM,Thursday,
B107-024,B107,lmarc5671,2018-09-06 10:35 AM,2018-09-06 11:29 AM,3245,3245,2018-09-06,10:35:00 AM,Thursday,
B107-009,B107,cau092,2018-09-06 10:35 AM,2018-09-06 11:42 AM,4006,4006,2018-09-06,10:35:00 AM,Thursday,
B107-010,B107,dbara943,2018-09-06 10:36 AM,2018-09-06 11:30 AM,3224,3224,2018-09-06,10:36:00 AM,Thursday,
B107-016,B107,rjohn5781,2018-09-06 10:37 AM,2018-09-06 11:31 AM,3254,3254,2018-09-06,10:37:00 AM,Thursday,
B107-015,B107,jlunz486,2018-09-06 10:38 AM,2018-09-06 11:31 AM,3214,3214,2018-09-06,10:38:00 AM,Thursday,
B107-002,B107,Knort052,2018-09-06 10:38 AM,2018-09-06 11:31 AM,3205,3205,2018-09-06,10:38:00 AM,Thursday,
B107-011,B107,akaur990,2018-09-06 10:38 AM,2018-09-06 11:31 AM,3145,3145,2018-09-06,10:38:00 AM,Thursday,
B173-002,B173,rgill501,2018-09-06 10:40 AM,2018-09-06 11:19 AM,2364,2364,2018-09-06,10:40:00 AM,Thursday,
B107-012,B107,gcarv023,2018-09-06 10:42 AM,2018-09-06 11:30 AM,2864,2864,2018-09-06,10:42:00 AM,Thursday,
B162-006,B162,dcont697,2018-09-06 10:53 AM,2018-09-06 10:55 AM,120,120,2018-09-06,10:53:00 AM,Thursday,
B162-020,B162,jwalk457,2018-09-06 11:06 AM,2018-09-06 11:22 AM,970,970,2018-09-06,11:06:00 AM,Thursday,
B162-003,B162,rkrug957,2018-09-06 11:10 AM,2018-09-06 11:58 AM,2833,2833,2018-09-06,11:10:00 AM,Thursday,
