B107-011,B107,ssmil733,2018-09-06 05:26 PM,2018-09-06 05:32 PM,360,360,2018-09-06,5:26:00 PM,Thursday,
B107-011,B107,ssmil733,2018-09-07 09:50 AM,2018-09-07 10:08 AM,1051,1051,2018-09-07,9:50:00 AM,Friday,
B107-008,B107,jdyck906,2018-09-07 11:28 AM,2018-09-07 11:38 AM,621,621,2018-09-07,11:28:00 AM,Friday,
B107-006,B107,sebel603,2018-09-07 01:28 PM,2018-09-07 02:24 PM,3372,3372,2018-09-07,1:28:00 PM,Friday,
B107-010,B107,jwalk457,2018-09-07 02:01 PM,2018-09-07 02:03 PM,90,90,2018-09-07,2:01:00 PM,Friday,
B107-006,B107,mirvi948,2018-09-07 03:29 PM,2018-09-07 03:48 PM,1151,1151,2018-09-07,3:29:00 PM,Friday,
B107-010,B107,dcoll657,2018-09-10 09:30 AM,2018-09-10 10:44 AM,4412,4412,2018-09-10,9:30:00 AM,Monday,
B107-022,B107,jramo193,2018-09-10 09:53 AM,2018-09-10 10:35 AM,2542,2542,2018-09-10,9:53:00 AM,Monday,
B107-011,B107,nwild204,2018-09-10 10:55 AM,2018-09-10 11:18 AM,1402,1402,2018-09-10,10:55:00 AM,Monday,
B107-007,B107,rdutt915,2018-09-10 11:15 AM,2018-09-10 11:59 AM,2642,2642,2018-09-10,11:15:00 AM,Monday,
B107-022,B107,jwalk457,2018-09-10 11:23 AM,2018-09-10 12:33 PM,4242,4242,2018-09-10,11:23:00 AM,Monday,
B107-011,B107,JRuiz277,2018-09-10 11:49 AM,2018-09-10 12:46 PM,3422,3422,2018-09-10,11:49:00 AM,Monday,
B107-010,B107,jramo193,2018-09-10 12:35 PM,2018-09-10 02:38 PM,7394,7394,2018-09-10,12:35:00 PM,Monday,
B107-009,B107,JRuiz277,2018-09-10 02:11 PM,2018-09-10 03:27 PM,4583,4583,2018-09-10,2:11:00 PM,Monday,
