B162-001,B162,danzo242,2019-01-02 11:55 AM,2019-01-02 01:04 PM,4191,4191,2019-01-02,11:55:00 AM,Wednesday,
B162-029,B162,mwalk762,2019-01-03 08:40 AM,2019-01-03 09:23 AM,2550,2550,2019-01-03,8:40:00 AM,Thursday,
B162-029,B162,mwalk762,2019-01-03 09:25 AM,2019-01-03 09:30 AM,298,298,2019-01-03,9:25:00 AM,Thursday,
B162-030,B162,mwalk762,2019-01-03 09:30 AM,2019-01-03 12:36 PM,11170,11170,2019-01-03,9:30:00 AM,Thursday,
B103-001,B103,bbake551,2019-01-03 04:11 PM,2019-01-03 04:22 PM,641,641,2019-01-03,4:11:00 PM,Thursday,
B103-020,B103,fbuls722,2019-01-04 09:37 AM,2019-01-04 09:53 AM,991,991,2019-01-04,9:37:00 AM,Friday,
B103-019,B103,mwalk762,2019-01-04 09:37 AM,2019-01-04 09:53 AM,984,984,2019-01-04,9:37:00 AM,Friday,
B173-012,B173,dyank432,2019-01-04 09:38 AM,2019-01-04 09:50 AM,751,751,2019-01-04,9:38:00 AM,Friday,
B162-019,B162,jlope422,2019-01-04 09:39 AM,2019-01-04 10:44 AM,3904,3904,2019-01-04,9:39:00 AM,Friday,
B162-017,B162,maly679,2019-01-04 09:41 AM,2019-01-04 10:43 AM,3713,3713,2019-01-04,9:41:00 AM,Friday,
B173-005,B173,cgord969,2019-01-04 09:52 AM,2019-01-04 11:21 AM,5366,5366,2019-01-04,9:52:00 AM,Friday,
B162-026,B162,Lherm946,2019-01-04 09:54 AM,2019-01-04 10:44 AM,3013,3013,2019-01-04,9:54:00 AM,Friday,
B162-030,B162,Smora050,2019-01-04 09:57 AM,2019-01-04 10:44 AM,2773,2773,2019-01-04,9:57:00 AM,Friday,
B162-013,B162,hvo885,2019-01-04 09:58 AM,2019-01-04 02:37 PM,16703,16703,2019-01-04,9:58:00 AM,Friday,
B173-007,B173,rngu772,2019-01-04 09:58 AM,2019-01-04 11:21 AM,4965,4965,2019-01-04,9:58:00 AM,Friday,
B162-014,B162,bhyra733,2019-01-04 09:59 AM,2019-01-04 10:42 AM,2614,2614,2019-01-04,9:59:00 AM,Friday,
B162-012,B162,bboc678,2019-01-04 09:59 AM,2019-01-04 10:43 AM,2692,2692,2019-01-04,9:59:00 AM,Friday,
B162-016,B162,melho616,2019-01-04 09:59 AM,2019-01-04 10:43 AM,2673,2673,2019-01-04,9:59:00 AM,Friday,
B173-009,B173,hfoon607,2019-01-04 09:59 AM,2019-01-04 11:23 AM,5015,5015,2019-01-04,9:59:00 AM,Friday,
B162-018,B162,nwadh527,2019-01-04 10:01 AM,2019-01-04 10:43 AM,2553,2553,2019-01-04,10:01:00 AM,Friday,
B173-006,B173,amanj851,2019-01-04 10:01 AM,2019-01-04 11:21 AM,4844,4844,2019-01-04,10:01:00 AM,Friday,
B173-008,B173,elosi701,2019-01-04 10:01 AM,2019-01-04 11:21 AM,4816,4816,2019-01-04,10:01:00 AM,Friday,
B173-010,B173,cgene792,2019-01-04 10:01 AM,2019-01-04 11:21 AM,4776,4776,2019-01-04,10:01:00 AM,Friday,
B173-015,B173,Dmaca962,2019-01-04 10:02 AM,2019-01-04 11:21 AM,4727,4727,2019-01-04,10:02:00 AM,Friday,
B162-029,B162,bchan955,2019-01-04 10:03 AM,2019-01-04 10:44 AM,2462,2462,2019-01-04,10:03:00 AM,Friday,
B162-011,B162,msuja061,2019-01-04 10:08 AM,2019-01-04 10:43 AM,2123,2123,2019-01-04,10:08:00 AM,Friday,
B103-001,B103,jsuzu530,2019-01-04 10:38 AM,2019-01-04 11:01 AM,1391,1391,2019-01-04,10:38:00 AM,Friday,
B162-014,B162,dhudo986,2019-01-04 11:10 AM,2019-01-04 12:12 PM,3704,3704,2019-01-04,11:10:00 AM,Friday,
B107-005,B107,smanj353,2019-01-04 11:12 AM,2019-01-04 12:24 PM,4333,4333,2019-01-04,11:12:00 AM,Friday,
B162-029,B162,jlope422,2019-01-04 11:13 AM,2019-01-04 11:15 AM,130,130,2019-01-04,11:13:00 AM,Friday,
B162-001,B162,bstui142,2019-01-04 11:15 AM,2019-01-04 12:18 PM,3784,3784,2019-01-04,11:15:00 AM,Friday,
B162-016,B162,jgarc494,2019-01-04 11:17 AM,2019-01-04 12:18 PM,3643,3643,2019-01-04,11:17:00 AM,Friday,
B162-019,B162,aspur593,2019-01-04 11:18 AM,2019-01-04 12:17 PM,3555,3555,2019-01-04,11:18:00 AM,Friday,
B162-004,B162,pmorr721,2019-01-04 11:18 AM,2019-01-04 12:18 PM,3595,3595,2019-01-04,11:18:00 AM,Friday,
B107-007,B107,sferg413,2019-01-04 11:19 AM,2019-01-04 12:39 PM,4824,4824,2019-01-04,11:19:00 AM,Friday,
B107-010,B107,echan298,2019-01-04 11:23 AM,2019-01-04 12:21 PM,3463,3463,2019-01-04,11:23:00 AM,Friday,
B107-014,B107,rlyst883,2019-01-04 11:24 AM,2019-01-04 12:21 PM,3403,3403,2019-01-04,11:24:00 AM,Friday,
B107-015,B107,sali180,2019-01-04 11:25 AM,2019-01-04 12:21 PM,3333,3333,2019-01-04,11:25:00 AM,Friday,
B162-003,B162,ashah4101,2019-01-04 11:25 AM,2019-01-04 12:17 PM,3115,3115,2019-01-04,11:25:00 AM,Friday,
B107-020,B107,amuha363,2019-01-04 11:26 AM,2019-01-04 12:24 PM,3473,3473,2019-01-04,11:26:00 AM,Friday,
B162-017,B162,knguy555,2019-01-04 11:28 AM,2019-01-04 12:18 PM,3034,3034,2019-01-04,11:28:00 AM,Friday,
B107-009,B107,frash412,2019-01-04 11:28 AM,2019-01-04 12:21 PM,3170,3170,2019-01-04,11:28:00 AM,Friday,
B162-022,B162,hpang446,2019-01-04 11:29 AM,2019-01-04 12:18 PM,2947,2947,2019-01-04,11:29:00 AM,Friday,
B107-011,B107,szaid002,2019-01-04 11:29 AM,2019-01-04 12:21 PM,3123,3123,2019-01-04,11:29:00 AM,Friday,
